# == pyFAI calibration ==
# Distance Sample to Detector: 2.9997704 m
# PONI: 4.785e-01, 4.477e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2999.770 mm
# Center: x=59.700, y=63.800 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.99764e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1
# --> AL_P188_Px10mgml_f5370359_r1d.csv
#        q_A^-1              I           sigma 
  4.684237e-02    1.574796e+02   4.640811e+00
  4.738428e-02    1.542329e+02   4.753839e+00
  4.792618e-02    1.502041e+02   4.662253e+00
  4.846808e-02    1.469066e+02   4.462624e+00
  4.900998e-02    1.439996e+02   4.516584e+00
  4.955188e-02    1.409673e+02   4.269139e+00
  5.009379e-02    1.379491e+02   4.381368e+00
  5.063569e-02    1.360426e+02   4.350861e+00
  5.117759e-02    1.328492e+02   4.203336e+00
  5.171949e-02    1.294711e+02   3.896630e+00
  5.226139e-02    1.277018e+02   3.764035e+00
  5.280329e-02    1.237432e+02   3.627827e+00
  5.334520e-02    1.215077e+02   3.544421e+00
  5.388710e-02    1.191363e+02   3.521314e+00
  5.442900e-02    1.170693e+02   3.405260e+00
  5.497090e-02    1.139941e+02   3.309775e+00
  5.551280e-02    1.118708e+02   3.268765e+00
  5.605471e-02    1.089932e+02   3.381992e+00
  5.659661e-02    1.069882e+02   3.475644e+00
  5.713851e-02    1.052812e+02   3.421451e+00
  5.768041e-02    1.036799e+02   3.260557e+00
  5.822231e-02    1.021713e+02   3.374974e+00
  5.876421e-02    1.008893e+02   3.353236e+00
  5.930612e-02    9.972834e+01   3.282740e+00
  5.984802e-02    9.914636e+01   3.279283e+00
  6.038992e-02    9.818974e+01   3.088444e+00
  6.093182e-02    9.642214e+01   2.917064e+00
  6.147372e-02    9.516235e+01   2.797790e+00
  6.201563e-02    9.385302e+01   2.673704e+00
  6.255753e-02    9.206703e+01   2.602103e+00
